rr,di,persist,adx_min,adx_rising,atr_ratio,di_slope,avoid_hours,trades,wins,win_rate,roi,sharpe,max_dd,avg_r
3.5,35,3,0,False,1.2,True,plus6,17,9,52.9,25.76,9.29,-1.99,1.515
3.5,35,3,0,False,1.2,True,long_london,17,9,52.9,25.76,9.29,-1.99,1.515
3.5,35,2,30,True,1.2,True,eu_open,15,8,53.3,22.74,9.29,-3.94,1.516
3.5,35,2,30,False,1.2,True,none,17,9,52.9,25.76,9.29,-1.99,1.515
3.0,35,2,30,False,1.2,True,none,18,10,55.6,24.01,9.28,-1.99,1.334
3.0,35,2,30,False,1.2,True,deep_prelondon,18,10,55.6,24.01,9.28,-1.99,1.334
3.0,35,2,30,True,1.2,True,none,18,10,55.6,24.01,9.28,-1.99,1.334
3.0,35,2,30,True,1.2,True,deep_prelondon,18,10,55.6,24.01,9.28,-1.99,1.334
3.5,35,3,30,True,1.2,False,eu_open,15,8,53.3,22.74,9.23,-3.94,1.516
4.0,35,2,25,True,1.2,True,long_london,18,9,50.0,30.02,9.11,-1.99,1.668
4.0,35,2,25,True,1.2,True,plus6,18,9,50.0,30.02,9.11,-1.99,1.668
4.0,35,2,25,True,1.2,True,plus9,18,9,50.0,30.02,9.11,-1.99,1.668
4.0,35,2,25,False,1.2,True,current,18,9,50.0,30.02,9.11,-1.99,1.668
4.0,35,2,25,False,1.2,True,plus9,18,9,50.0,30.02,9.11,-1.99,1.668
4.0,35,2,25,False,1.2,True,plus6,18,9,50.0,30.02,9.11,-1.99,1.668
4.0,35,2,25,False,1.2,True,long_london,18,9,50.0,30.02,9.11,-1.99,1.668
4.0,35,2,25,True,1.2,True,current,18,9,50.0,30.02,9.11,-1.99,1.668
4.0,35,2,25,False,1.2,True,deep_prelondon,18,9,50.0,30.02,9.04,-2.97,1.668
4.0,35,2,25,True,1.2,True,deep_prelondon,18,9,50.0,30.02,9.04,-2.97,1.668
2.0,35,3,30,True,1.2,True,none,16,10,62.5,14.77,9.03,-1.99,0.923
2.0,35,3,30,True,1.2,True,plus9,16,10,62.5,14.77,9.03,-1.99,0.923
2.0,35,3,30,True,1.2,True,current,16,10,62.5,14.77,9.03,-1.99,0.923
2.0,35,3,30,True,1.2,True,deep_prelondon,16,10,62.5,14.77,9.03,-1.99,0.923
2.0,35,3,30,False,1.2,True,plus6,16,10,62.5,14.77,9.03,-1.99,0.923
2.0,35,3,30,False,1.2,True,current,16,10,62.5,14.77,9.03,-1.99,0.923
2.0,35,3,30,False,1.2,True,none,16,10,62.5,14.77,9.03,-1.99,0.923
2.0,35,3,30,False,1.2,True,plus9,16,10,62.5,14.77,9.03,-1.99,0.923
2.0,35,3,30,True,1.2,True,plus6,16,10,62.5,14.77,9.03,-1.99,0.923
