di_threshold,di_persist,adx_min,adx_rising,atr_ratio_min,di_slope,di_spread_min,body_ratio_min,avoid,sma_ordered,rsi_filter,target_rr,fit_trades,fit_win_rate,fit_exp_R,fit_total_R,fit_roi_pct,fit_cagr_pct,fit_max_dd_pct,fit_cagr_dd,fit_sharpe_daily,fit_pf,fit_streak,fit_h1_R,fit_h2_R,fit_worst_R,oos_trades,oos_win_rate,oos_exp_R,oos_total_R,oos_roi_pct,oos_cagr_pct,oos_max_dd_pct,oos_cagr_dd,oos_sharpe_daily,oos_pf,oos_streak,oos_h1_R,oos_h2_R,oos_worst_R,all_trades,all_win_rate,all_exp_R,all_total_R,all_roi_pct,all_cagr_pct,all_max_dd_pct,all_cagr_dd,all_sharpe_daily,all_pf,all_streak,all_h1_R,all_h2_R,all_worst_R
30.0,1,20.0,False,1.2,True,20.0,0.0,none,True,False,3.0,196,28.1,0.1236,24.2,23.47,9.69,-14.3,0.68,0.65,1.17,9,0.1429,0.1044,-1.0,75,26.7,0.0592,4.4,3.33,4.92,-13.28,0.37,0.34,1.08,12,0.066,0.0526,-1.39,271,27.7,0.1058,28.7,27.59,8.57,-14.3,0.6,0.57,1.15,12,0.1276,0.0841,-1.39
30.0,1,20.0,False,1.2,True,20.0,0.0,none,True,False,3.5,197,23.9,0.073,14.4,11.43,4.86,-21.16,0.23,0.35,1.1,13,0.2846,-0.1364,-1.11,72,22.2,-0.0077,-0.6,-1.79,-2.61,-12.7,-0.21,-0.04,0.99,12,-0.0155,-0.0,-1.39,269,23.4,0.0514,13.8,9.43,3.09,-21.16,0.15,0.25,1.07,13,0.1745,-0.0708,-1.39
30.0,1,20.0,False,1.2,True,20.0,0.0,none,True,True,2.5,187,26.7,-0.0648,-12.1,-13.36,-6.09,-26.8,-0.23,-0.37,0.91,13,-0.0227,-0.1064,-1.11,65,26.2,-0.0846,-5.5,-6.07,-8.78,-10.13,-0.87,-0.53,0.89,8,-0.0156,-0.1515,-1.0,252,26.6,-0.0699,-17.6,-18.62,-6.72,-26.8,-0.25,-0.41,0.9,13,-0.0009,-0.1389,-1.11
30.0,1,20.0,False,1.2,True,20.0,0.0,none,True,True,3.0,184,24.5,-0.0211,-3.9,-6.36,-2.84,-24.67,-0.12,-0.11,0.97,17,0.1292,-0.1714,-1.11,62,24.2,-0.0323,-2.0,-2.86,-4.16,-12.35,-0.34,-0.17,0.96,9,0.1613,-0.2258,-1.0,246,24.4,-0.0239,-5.9,-9.04,-3.15,-24.67,-0.13,-0.13,0.97,17,0.1066,-0.1545,-1.11
30.0,1,20.0,False,1.2,True,20.0,0.0,none,True,True,3.5,180,20.6,-0.0756,-13.6,-15.25,-7.0,-27.9,-0.25,-0.37,0.9,17,-0.0012,-0.15,-1.11,62,22.6,0.0161,1.0,-0.08,-0.12,-11.5,-0.01,0.08,1.02,9,0.1613,-0.129,-1.0,242,21.1,-0.0521,-12.6,-15.32,-5.46,-27.9,-0.2,-0.25,0.93,17,0.0776,-0.1818,-1.11
30.0,1,0.0,False,0.0,False,0.0,0.0,none,False,False,2.5,702,28.6,0.0053,3.7,-4.94,-2.2,-40.28,-0.05,0.05,1.01,14,-0.0134,0.024,-1.11,220,34.1,0.1891,41.6,47.02,76.0,-8.31,9.15,2.22,1.28,8,0.2645,0.1136,-1.9,922,29.9,0.0492,45.3,39.76,11.96,-40.28,0.3,0.55,1.07,14,-0.0279,0.1262,-1.9
30.0,1,0.0,False,0.0,False,0.0,0.0,none,False,False,3.0,572,24.7,-0.011,-6.3,-13.73,-6.27,-42.75,-0.15,-0.11,0.99,19,-0.0353,0.0132,-1.09,145,31.0,0.2408,34.9,38.31,60.92,-12.25,4.97,2.1,1.35,13,0.2778,0.2044,-1.08,717,25.9,0.0399,28.6,19.31,6.14,-42.75,0.14,0.35,1.05,19,-0.0841,0.1635,-1.09
30.0,1,0.0,False,0.0,False,0.0,0.0,none,False,False,3.5,497,21.5,-0.0295,-14.7,-20.6,-9.62,-35.01,-0.27,-0.24,0.96,19,-0.0754,0.0163,-1.11,146,27.4,0.2352,34.3,36.87,58.48,-14.1,4.15,1.83,1.32,14,0.4851,-0.0148,-1.08,643,22.9,0.0306,19.7,8.68,2.85,-35.01,0.08,0.23,1.04,19,-0.1035,0.1643,-1.11
30.0,1,0.0,False,0.0,False,0.0,0.0,none,False,True,2.5,847,27.3,-0.0454,-38.4,-38.51,-19.2,-50.08,-0.38,-0.55,0.94,14,-0.0574,-0.0333,-1.11,301,32.6,0.1373,41.3,45.16,72.75,-12.32,5.91,1.68,1.2,10,0.118,0.1565,-1.9,1148,28.7,0.0025,2.9,-10.74,-3.76,-50.08,-0.08,0.03,1.0,14,-0.0791,0.0842,-1.9
30.0,1,0.0,False,0.0,False,0.0,0.0,none,False,True,3.0,724,22.4,-0.1051,-76.1,-57.7,-31.43,-66.43,-0.47,-1.12,0.86,20,-0.1389,-0.0712,-1.11,230,31.3,0.2529,58.2,71.93,121.42,-9.56,12.7,2.43,1.37,10,0.3239,0.1819,-1.08,954,24.5,-0.0188,-17.9,-27.28,-10.2,-66.43,-0.15,-0.19,0.98,20,-0.1537,0.1161,-1.11
30.0,1,0.0,False,0.0,False,0.0,0.0,none,False,True,3.5,629,19.4,-0.1275,-80.2,-59.37,-32.62,-63.16,-0.52,-1.17,0.84,20,-0.1838,-0.0714,-1.11,200,25.5,0.1471,29.4,29.2,45.61,-13.13,3.48,1.24,1.2,14,0.305,-0.0108,-1.08,829,20.9,-0.0613,-50.8,-47.5,-19.55,-63.16,-0.31,-0.54,0.92,20,-0.1961,0.0733,-1.11
30.0,1,0.0,False,0.0,False,0.0,0.0,none,True,False,2.5,663,30.6,0.0746,49.5,50.42,19.6,-23.86,0.82,0.76,1.11,13,0.0465,0.1026,-1.11,203,36.0,0.2467,50.1,60.24,99.69,-9.56,10.43,2.49,1.38,10,0.2769,0.2168,-2.56,866,31.9,0.1149,99.5,141.02,34.58,-23.86,1.45,1.17,1.17,13,0.0182,0.2117,-2.56
