strategy,tf,label,di,rr,persist,adx_min,adx_rising,di_slope,trades,win_rate,roi,sharpe,max_dd,pvt_threshold,pvt_consec
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,4.0,2.0,0.0,True,True,70,14.3,-19.01,-2.93,-25.04,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),30.0,8.0,2.0,20.0,False,True,73,6.8,-25.82,-2.94,-26.28,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,3.0,1.0,20.0,True,True,108,18.5,-25.42,-2.96,-34.71,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,4.0,2.0,15.0,True,True,77,14.3,-20.7,-2.97,-27.71,,
PVTScalping,1h,1H (Feb 2025+),,2.5,,,,,93,21.5,-21.32,-2.98,-23.18,0.05,1.0
PVTScalping,1h,1H (Feb 2025+),,2.5,,,,,93,21.5,-21.32,-2.98,-23.18,0.1,1.0
PVTScalping,1h,1H (Feb 2025+),,2.5,,,,,93,21.5,-21.32,-2.98,-23.18,0.01,3.0
PVTScalping,1h,1H (Feb 2025+),,2.5,,,,,93,21.5,-21.32,-2.98,-23.18,0.01,2.0
PVTScalping,1h,1H (Feb 2025+),,2.5,,,,,93,21.5,-21.32,-2.99,-23.18,0.1,3.0
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),25.0,4.0,2.0,20.0,True,True,93,14.0,-25.48,-2.99,-30.41,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),30.0,8.0,1.0,15.0,False,False,60,6.7,-22.51,-3.02,-28.72,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),25.0,5.0,1.0,0.0,True,True,79,11.4,-23.23,-3.04,-32.04,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,8.0,2.0,20.0,True,True,74,6.8,-26.56,-3.07,-36.4,,
PVTScalping,1h,1H (Feb 2025+),,2.5,,,,,94,21.3,-22.11,-3.08,-23.94,0.1,2.0
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,6.0,1.0,0.0,True,True,64,9.4,-20.81,-3.08,-33.1,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),30.0,8.0,1.0,0.0,False,True,77,6.5,-28.74,-3.15,-31.53,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,3.0,2.0,20.0,True,False,99,18.2,-24.57,-3.17,-35.4,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),30.0,6.0,2.0,0.0,True,True,91,8.8,-30.79,-3.18,-32.03,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),25.0,8.0,1.0,0.0,False,True,90,6.7,-31.78,-3.19,-39.11,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,6.0,1.0,0.0,True,False,65,9.2,-21.6,-3.2,-33.77,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),25.0,6.0,1.0,0.0,False,True,89,9.0,-29.38,-3.2,-35.23,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),30.0,8.0,2.0,15.0,False,True,77,6.5,-28.74,-3.25,-29.21,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),25.0,6.0,1.0,15.0,True,True,68,8.8,-23.93,-3.26,-29.38,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),30.0,8.0,1.0,0.0,True,False,63,6.3,-24.81,-3.26,-30.84,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),30.0,8.0,2.0,0.0,True,True,78,6.4,-29.45,-3.32,-32.66,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),30.0,8.0,2.0,0.0,False,True,79,6.3,-30.16,-3.34,-34.0,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),25.0,8.0,1.0,20.0,False,True,89,6.7,-31.09,-3.35,-40.72,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),25.0,5.0,1.0,0.0,True,False,66,10.6,-22.23,-3.49,-28.94,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),30.0,8.0,1.0,0.0,False,False,66,6.1,-27.04,-3.51,-32.89,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),25.0,8.0,1.0,15.0,False,True,92,6.5,-33.14,-3.54,-41.31,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),25.0,6.0,2.0,0.0,True,True,102,8.8,-33.65,-3.6,-38.52,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,4.0,1.0,20.0,True,True,85,12.9,-26.82,-3.62,-31.66,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,8.0,1.0,20.0,True,True,67,6.0,-27.77,-3.74,-37.45,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,4.0,2.0,20.0,True,True,79,12.7,-26.01,-3.88,-30.9,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,8.0,1.0,0.0,True,True,52,5.8,-23.02,-3.93,-33.1,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,8.0,1.0,20.0,True,False,69,5.8,-29.21,-4.0,-38.69,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,8.0,1.0,0.0,True,False,54,5.6,-24.55,-4.14,-33.77,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),25.0,6.0,2.0,20.0,True,True,95,7.4,-37.91,-4.21,-41.42,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,3.0,2.0,20.0,True,True,100,16.0,-31.02,-4.29,-38.09,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,3.0,1.0,20.0,True,False,101,15.8,-31.71,-4.35,-40.32,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,5.0,2.0,20.0,True,False,88,9.1,-33.88,-4.54,-41.72,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,8.0,1.0,15.0,True,True,41,4.9,-21.18,-4.64,-27.5,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,8.0,1.0,15.0,True,False,43,4.7,-22.75,-4.9,-28.94,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),25.0,6.0,1.0,0.0,True,True,88,6.8,-37.78,-5.34,-44.07,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),25.0,6.0,1.0,0.0,True,False,79,6.3,-36.39,-5.77,-42.24,,
